date,team,player,starter,minutes
2018-06-20,Portugal,André Miguel Valente Silva,False,0.0
2018-06-20,Portugal,Gelson Dany Batalha Martins,False,31.516666666666666
2018-06-20,Portugal,Manuel Henrique Tavares Fernandes,False,0.0
2018-06-20,Portugal,Ricardo Domingos Barbosa Pereira,False,0.0
2018-06-20,Portugal,Mário Rui Silva Duarte,False,0.0
2018-06-20,Portugal,Bruno Eduardo Regufe Alves,False,0.0
2018-06-20,Portugal,Kléper Laveran Lima Ferreira,True,90.0
2018-06-20,Portugal,António Alberto Bastos Pimparel,False,0.0
2018-06-20,Morocco,Nordin Amrabat,True,90.0
2018-06-20,Morocco,Hamza Mendyl,False,0.0
2018-06-20,Morocco,Romain Saïss,False,0.0
2018-06-20,Morocco,Manuel Marouan da Costa Trinidade,True,90.0
2018-06-20,Morocco,Aziz Bouhaddouz,False,0.0
2018-06-20,Morocco,Ayoub El Kaabi,False,21.11666666666666
2018-06-20,Morocco,Mbark Boussoufa,True,90.0
2018-06-20,Morocco,Munir Mohand Mohamedi,True,90.0
2018-06-20,Morocco,Sofyan Amrabat,False,0.0
2018-06-20,Morocco,Karim El Ahmadi Al Aroos,True,85.46666666666667
2018-06-20,Morocco,Hakim Ziyech,True,90.0
2018-06-20,Morocco,Younès Belhanda,True,74.7
2018-06-20,Morocco,Amine Harit,False,0.0
2018-06-20,Morocco,Medhi Amine El Mouttaqi Benatia,True,90.0
2018-06-20,Morocco,Achraf Hakimi Mouh,True,90.0
2018-06-20,Morocco,Fayçal Fajr,False,4.533333333333331
2018-06-20,Morocco,Mehdi Carcela-González,False,15.299999999999997
2018-06-20,Morocco,Khalid Boutaïb,True,68.88333333333334
2018-06-20,Morocco,Nabil Dirar,True,90.0
2018-06-20,Morocco,Youssef En-Nesyri,False,0.0
2018-06-20,Morocco,Yassine Bounou,False,0.0
2018-06-20,Morocco,Ahmed Reda Tagnaouti,False,0.0
2018-07-11,England,Bamidele Alli,True,90.0
2018-07-11,England,Kyle Walker,True,133.95
